"poll_id","state","end_date","transparency_score","candidate_name","pct"
76426,"Georgia",2022-02-07,5,"Kamala Harris",27.92
76426,"Georgia",2022-02-07,5,"Donald Trump",13.82
76426,"Georgia",2022-02-07,5,"Elizabeth Ann Warren",26.82
76426,"Georgia",2022-02-07,5,"Bernie Sanders",8.92
76426,"Georgia",2022-02-07,5,"Joe Biden",22.53
88824,"Alaska",2022-05-07,9,"Bernie Sanders",61.36
88824,"Alaska",2022-05-07,9,"Kamala Harris",38.64
85951,"New Hampshire",2022-01-07,0.5,"Donald Trump",6.81
85951,"New Hampshire",2022-01-07,0.5,"Elizabeth Ann Warren",93.19
77868,"Wisconsin",2022-03-07,5,"Elizabeth Ann Warren",66.62
77868,"Wisconsin",2022-03-07,5,"Bernie Sanders",33.38
81785,"Delaware",2024-03-07,5.5,"Bernie Sanders",3.05
81785,"Delaware",2024-03-07,5.5,"Joe Biden",96.95
78485,"Illinois",2023-10-07,0,"Kamala Harris",40.41
78485,"Illinois",2023-10-07,0,"Elizabeth Ann Warren",38.48
78485,"Illinois",2023-10-07,0,"Bernie Sanders",21.11
75386,"Kentucky",2021-07-07,9,"Elizabeth Ann Warren",1.24
75386,"Kentucky",2021-07-07,9,"Joe Biden",29.28
75386,"Kentucky",2021-07-07,9,"Donald Trump",17.42
75386,"Kentucky",2021-07-07,9,"Bernie Sanders",21.56
75386,"Kentucky",2021-07-07,9,"Kamala Harris",30.5
75858,"New Mexico",2024-03-07,0.5,"Bernie Sanders",13.37
75858,"New Mexico",2024-03-07,0.5,"Donald Trump",26.89
75858,"New Mexico",2024-03-07,0.5,"Joe Biden",21.2
75858,"New Mexico",2024-03-07,0.5,"Elizabeth Ann Warren",38.54
88234,"Utah",2023-12-07,8.5,"Kamala Harris",9.08
88234,"Utah",2023-12-07,8.5,"Bernie Sanders",8.08
88234,"Utah",2023-12-07,8.5,"Joe Biden",31.33
88234,"Utah",2023-12-07,8.5,"Donald Trump",24.34
88234,"Utah",2023-12-07,8.5,"Elizabeth Ann Warren",27.17
80542,"Kentucky",2022-09-07,4,"Donald Trump",12.98
80542,"Kentucky",2022-09-07,4,"Joe Biden",13.31
80542,"Kentucky",2022-09-07,4,"Elizabeth Ann Warren",30.72
80542,"Kentucky",2022-09-07,4,"Kamala Harris",22.78
80542,"Kentucky",2022-09-07,4,"Bernie Sanders",20.22
85750,"Alaska",2023-12-07,8,"Elizabeth Ann Warren",20.49
85750,"Alaska",2023-12-07,8,"Kamala Harris",58.68
85750,"Alaska",2023-12-07,8,"Joe Biden",9.47
85750,"Alaska",2023-12-07,8,"Bernie Sanders",11.35
81344,"Connecticut",2023-08-07,6.5,"Donald Trump",39.66
81344,"Connecticut",2023-08-07,6.5,"Kamala Harris",10.57
81344,"Connecticut",2023-08-07,6.5,"Bernie Sanders",10.47
81344,"Connecticut",2023-08-07,6.5,"Joe Biden",39.29
83593,"Maine",2024-07-07,3,"Joe Biden",44.5
83593,"Maine",2024-07-07,3,"Bernie Sanders",48.7
83593,"Maine",2024-07-07,3,"Kamala Harris",6.8
83859,"Florida",2024-10-07,4.5,"Elizabeth Ann Warren",20.01
83859,"Florida",2024-10-07,4.5,"Kamala Harris",34.58
83859,"Florida",2024-10-07,4.5,"Bernie Sanders",45.41
84696,"Arizona",2024-05-07,9.5,"Elizabeth Ann Warren",53.92
84696,"Arizona",2024-05-07,9.5,"Bernie Sanders",9.09
84696,"Arizona",2024-05-07,9.5,"Donald Trump",36.99
76959,"Mississippi",2021-12-07,7,"Joe Biden",19.74
76959,"Mississippi",2021-12-07,7,"Elizabeth Ann Warren",20.5
76959,"Mississippi",2021-12-07,7,"Kamala Harris",35.27
76959,"Mississippi",2021-12-07,7,"Bernie Sanders",24.49
82792,"Illinois",2023-09-07,3,"Joe Biden",29.11
82792,"Illinois",2023-09-07,3,"Elizabeth Ann Warren",70.89
87759,"Illinois",2023-09-07,3.5,"Donald Trump",17.53
87759,"Illinois",2023-09-07,3.5,"Elizabeth Ann Warren",17.9
87759,"Illinois",2023-09-07,3.5,"Kamala Harris",32.53
87759,"Illinois",2023-09-07,3.5,"Bernie Sanders",14.38
87759,"Illinois",2023-09-07,3.5,"Joe Biden",17.66
75296,"Nevada",2024-07-07,10,"Joe Biden",26.4
75296,"Nevada",2024-07-07,10,"Bernie Sanders",73.6
86534,"Louisiana",2022-02-07,5.5,"Donald Trump",41.78
86534,"Louisiana",2022-02-07,5.5,"Bernie Sanders",43.85
86534,"Louisiana",2022-02-07,5.5,"Elizabeth Ann Warren",14.37
77794,"Alabama",2022-03-07,3.5,"Kamala Harris",5.14
77794,"Alabama",2022-03-07,3.5,"Bernie Sanders",13.05
77794,"Alabama",2022-03-07,3.5,"Donald Trump",19.68
77794,"Alabama",2022-03-07,3.5,"Joe Biden",32.85
77794,"Alabama",2022-03-07,3.5,"Elizabeth Ann Warren",29.28
77921,"California",2022-06-07,9,"Elizabeth Ann Warren",40.23
77921,"California",2022-06-07,9,"Donald Trump",3.43
77921,"California",2022-06-07,9,"Joe Biden",32.9
77921,"California",2022-06-07,9,"Bernie Sanders",23.43
78231,"Montana",2023-03-07,3,"Donald Trump",19.59
78231,"Montana",2023-03-07,3,"Joe Biden",28.39
78231,"Montana",2023-03-07,3,"Bernie Sanders",52.02
81499,"Wisconsin",2022-10-07,1,"Bernie Sanders",16.1
81499,"Wisconsin",2022-10-07,1,"Kamala Harris",18.36
81499,"Wisconsin",2022-10-07,1,"Elizabeth Ann Warren",25.93
81499,"Wisconsin",2022-10-07,1,"Joe Biden",18.86
81499,"Wisconsin",2022-10-07,1,"Donald Trump",20.74
88569,"Delaware",2023-05-07,9.5,"Bernie Sanders",11.78
88569,"Delaware",2023-05-07,9.5,"Joe Biden",18.84
88569,"Delaware",2023-05-07,9.5,"Elizabeth Ann Warren",28.16
88569,"Delaware",2023-05-07,9.5,"Kamala Harris",15.08
88569,"Delaware",2023-05-07,9.5,"Donald Trump",26.14
75278,"Mississippi",2024-10-07,2,"Elizabeth Ann Warren",94.69
75278,"Mississippi",2024-10-07,2,"Donald Trump",5.31
75326,"Virginia",2024-10-07,1.5,"Bernie Sanders",75.21
75326,"Virginia",2024-10-07,1.5,"Kamala Harris",24.79
74857,"Rhode Island",2023-10-07,4.5,"Kamala Harris",27.84
74857,"Rhode Island",2023-10-07,4.5,"Joe Biden",25.44
74857,"Rhode Island",2023-10-07,4.5,"Elizabeth Ann Warren",22.37
74857,"Rhode Island",2023-10-07,4.5,"Bernie Sanders",13.11
74857,"Rhode Island",2023-10-07,4.5,"Donald Trump",11.25
88718,"Rhode Island",2023-11-07,1.5,"Bernie Sanders",30.75
88718,"Rhode Island",2023-11-07,1.5,"Kamala Harris",69.25
83868,"Ohio",2022-07-07,8,"Donald Trump",64.56
83868,"Ohio",2022-07-07,8,"Kamala Harris",35.44
89090,"Wisconsin",2024-09-07,0,"Bernie Sanders",38.01
89090,"Wisconsin",2024-09-07,0,"Joe Biden",37.83
89090,"Wisconsin",2024-09-07,0,"Donald Trump",24.16
75986,"Michigan",2021-06-07,5,"Joe Biden",28.69
75986,"Michigan",2021-06-07,5,"Kamala Harris",71.31
75521,"Nevada",2022-07-07,9,"Donald Trump",38.48
75521,"Nevada",2022-07-07,9,"Joe Biden",22.97
75521,"Nevada",2022-07-07,9,"Kamala Harris",38.56
86038,"Florida",2024-03-07,3.5,"Kamala Harris",43.13
86038,"Florida",2024-03-07,3.5,"Donald Trump",56.87
88516,"Oklahoma",2022-02-07,7,"Joe Biden",34.17
88516,"Oklahoma",2022-02-07,7,"Bernie Sanders",34.57
88516,"Oklahoma",2022-02-07,7,"Kamala Harris",1.6
88516,"Oklahoma",2022-02-07,7,"Elizabeth Ann Warren",29.66
75163,"Oregon",2024-07-07,5.5,"Kamala Harris",20.82
75163,"Oregon",2024-07-07,5.5,"Elizabeth Ann Warren",20.94
75163,"Oregon",2024-07-07,5.5,"Joe Biden",14.59
75163,"Oregon",2024-07-07,5.5,"Donald Trump",5.07
75163,"Oregon",2024-07-07,5.5,"Bernie Sanders",38.57
79996,"Oklahoma",2022-03-07,5,"Joe Biden",73.21
79996,"Oklahoma",2022-03-07,5,"Bernie Sanders",26.79
78790,"New York",2022-06-07,0.5,"Donald Trump",16.88
78790,"New York",2022-06-07,0.5,"Joe Biden",8.8
78790,"New York",2022-06-07,0.5,"Elizabeth Ann Warren",29.38
78790,"New York",2022-06-07,0.5,"Bernie Sanders",24.47
78790,"New York",2022-06-07,0.5,"Kamala Harris",20.47
83426,"Alaska",2021-05-07,1.5,"Bernie Sanders",59.22
83426,"Alaska",2021-05-07,1.5,"Joe Biden",40.78
82076,"Massachusetts",2023-05-07,5.5,"Donald Trump",14.65
82076,"Massachusetts",2023-05-07,5.5,"Joe Biden",40.7
82076,"Massachusetts",2023-05-07,5.5,"Kamala Harris",39.92
82076,"Massachusetts",2023-05-07,5.5,"Elizabeth Ann Warren",4.73
80915,"Nebraska",2024-01-07,7.5,"Elizabeth Ann Warren",24.09
80915,"Nebraska",2024-01-07,7.5,"Bernie Sanders",29.6
80915,"Nebraska",2024-01-07,7.5,"Donald Trump",11.9
80915,"Nebraska",2024-01-07,7.5,"Kamala Harris",17.08
80915,"Nebraska",2024-01-07,7.5,"Joe Biden",17.34
79939,"Missouri",2023-07-07,2.5,"Donald Trump",45.55
79939,"Missouri",2023-07-07,2.5,"Bernie Sanders",43.33
79939,"Missouri",2023-07-07,2.5,"Elizabeth Ann Warren",11.13
81218,"Utah",2023-08-07,8,"Kamala Harris",21.4
81218,"Utah",2023-08-07,8,"Bernie Sanders",26.83
81218,"Utah",2023-08-07,8,"Elizabeth Ann Warren",7.14
81218,"Utah",2023-08-07,8,"Donald Trump",19.44
81218,"Utah",2023-08-07,8,"Joe Biden",25.19
78568,"Wisconsin",2023-06-07,5.5,"Kamala Harris",10.36
78568,"Wisconsin",2023-06-07,5.5,"Donald Trump",35.34
78568,"Wisconsin",2023-06-07,5.5,"Elizabeth Ann Warren",22.02
78568,"Wisconsin",2023-06-07,5.5,"Joe Biden",32.28
84543,"Arizona",2022-09-07,5,"Bernie Sanders",39
84543,"Arizona",2022-09-07,5,"Elizabeth Ann Warren",61
78527,"Alaska",2022-02-07,1,"Joe Biden",3.61
78527,"Alaska",2022-02-07,1,"Kamala Harris",27.22
78527,"Alaska",2022-02-07,1,"Elizabeth Ann Warren",31.99
78527,"Alaska",2022-02-07,1,"Bernie Sanders",37.18
89081,"Maryland",2023-07-07,10,"Bernie Sanders",28.33
89081,"Maryland",2023-07-07,10,"Donald Trump",19.03
89081,"Maryland",2023-07-07,10,"Joe Biden",18.44
89081,"Maryland",2023-07-07,10,"Elizabeth Ann Warren",34.21
81704,"Oklahoma",2023-09-07,2.5,"Donald Trump",0.84
81704,"Oklahoma",2023-09-07,2.5,"Kamala Harris",24.96
81704,"Oklahoma",2023-09-07,2.5,"Elizabeth Ann Warren",22.8
81704,"Oklahoma",2023-09-07,2.5,"Bernie Sanders",20.33
81704,"Oklahoma",2023-09-07,2.5,"Joe Biden",31.07
85224,"West Virginia",2022-11-07,1.5,"Donald Trump",16.25
85224,"West Virginia",2022-11-07,1.5,"Kamala Harris",8.58
85224,"West Virginia",2022-11-07,1.5,"Bernie Sanders",59.85
85224,"West Virginia",2022-11-07,1.5,"Elizabeth Ann Warren",15.32
80714,"Oklahoma",2023-02-07,2,"Elizabeth Ann Warren",33.06
80714,"Oklahoma",2023-02-07,2,"Joe Biden",66.94
84510,"West Virginia",2024-06-07,5.5,"Donald Trump",6.4
84510,"West Virginia",2024-06-07,5.5,"Bernie Sanders",61.35
84510,"West Virginia",2024-06-07,5.5,"Kamala Harris",32.25
81030,"Indiana",2024-09-07,8.5,"Kamala Harris",81.99
81030,"Indiana",2024-09-07,8.5,"Joe Biden",18.01
83764,"Louisiana",2024-02-07,3.5,"Kamala Harris",64.69
83764,"Louisiana",2024-02-07,3.5,"Joe Biden",35.31
79444,"Alabama",2024-06-07,0,"Joe Biden",68.1
79444,"Alabama",2024-06-07,0,"Bernie Sanders",31.9
88890,"Kansas",2022-11-07,4,"Bernie Sanders",69.77
88890,"Kansas",2022-11-07,4,"Joe Biden",21.59
88890,"Kansas",2022-11-07,4,"Elizabeth Ann Warren",8.64
78458,"North Carolina",2024-02-07,6.5,"Joe Biden",13.1
78458,"North Carolina",2024-02-07,6.5,"Kamala Harris",32.25
78458,"North Carolina",2024-02-07,6.5,"Elizabeth Ann Warren",47.33
78458,"North Carolina",2024-02-07,6.5,"Bernie Sanders",7.33
79578,"Minnesota",2024-01-07,5.5,"Donald Trump",91.09
79578,"Minnesota",2024-01-07,5.5,"Elizabeth Ann Warren",8.91
76675,"Nevada",2022-11-07,5.5,"Bernie Sanders",30.44
76675,"Nevada",2022-11-07,5.5,"Elizabeth Ann Warren",4.66
76675,"Nevada",2022-11-07,5.5,"Donald Trump",28.63
76675,"Nevada",2022-11-07,5.5,"Kamala Harris",36.27
83891,"Oregon",2023-05-07,1,"Kamala Harris",52.54
83891,"Oregon",2023-05-07,1,"Donald Trump",47.46
76739,"Kentucky",2021-10-07,7.5,"Donald Trump",51.53
76739,"Kentucky",2021-10-07,7.5,"Kamala Harris",18.22
76739,"Kentucky",2021-10-07,7.5,"Joe Biden",3.48
76739,"Kentucky",2021-10-07,7.5,"Bernie Sanders",26.77
78453,"Ohio",2023-10-07,1.5,"Bernie Sanders",22.93
78453,"Ohio",2023-10-07,1.5,"Elizabeth Ann Warren",10.98
78453,"Ohio",2023-10-07,1.5,"Donald Trump",25.01
78453,"Ohio",2023-10-07,1.5,"Kamala Harris",22.35
78453,"Ohio",2023-10-07,1.5,"Joe Biden",18.74
82616,"Massachusetts",2024-06-07,6,"Kamala Harris",10.33
82616,"Massachusetts",2024-06-07,6,"Bernie Sanders",11
82616,"Massachusetts",2024-06-07,6,"Joe Biden",8.88
82616,"Massachusetts",2024-06-07,6,"Donald Trump",48.32
82616,"Massachusetts",2024-06-07,6,"Elizabeth Ann Warren",21.48
87640,"New Mexico",2023-11-07,5.5,"Joe Biden",31.63
87640,"New Mexico",2023-11-07,5.5,"Donald Trump",68.37
77576,"Iowa",2023-06-07,1,"Donald Trump",12.5
77576,"Iowa",2023-06-07,1,"Elizabeth Ann Warren",5.24
77576,"Iowa",2023-06-07,1,"Joe Biden",65.92
77576,"Iowa",2023-06-07,1,"Kamala Harris",7.32
77576,"Iowa",2023-06-07,1,"Bernie Sanders",9.02
82084,"Tennessee",2021-04-07,2.5,"Kamala Harris",12.37
82084,"Tennessee",2021-04-07,2.5,"Elizabeth Ann Warren",21.29
82084,"Tennessee",2021-04-07,2.5,"Joe Biden",54.5
82084,"Tennessee",2021-04-07,2.5,"Bernie Sanders",3.97
82084,"Tennessee",2021-04-07,2.5,"Donald Trump",7.87
88796,"Michigan",2022-04-07,6,"Elizabeth Ann Warren",29.06
88796,"Michigan",2022-04-07,6,"Joe Biden",17.23
88796,"Michigan",2022-04-07,6,"Kamala Harris",17.95
88796,"Michigan",2022-04-07,6,"Bernie Sanders",35.75
87956,"Alabama",2021-11-07,5.5,"Elizabeth Ann Warren",49.62
87956,"Alabama",2021-11-07,5.5,"Joe Biden",48.08
87956,"Alabama",2021-11-07,5.5,"Donald Trump",2.3
74911,"Indiana",2021-11-07,7.5,"Elizabeth Ann Warren",47.88
74911,"Indiana",2021-11-07,7.5,"Joe Biden",38.36
74911,"Indiana",2021-11-07,7.5,"Kamala Harris",13.75
77423,"West Virginia",2022-02-07,6.5,"Kamala Harris",28.97
77423,"West Virginia",2022-02-07,6.5,"Donald Trump",71.03
88682,"California",2022-07-07,3.5,"Elizabeth Ann Warren",34.59
88682,"California",2022-07-07,3.5,"Joe Biden",30.7
88682,"California",2022-07-07,3.5,"Donald Trump",6.98
88682,"California",2022-07-07,3.5,"Kamala Harris",27.73
81714,"North Dakota",2023-12-07,4,"Donald Trump",4.97
81714,"North Dakota",2023-12-07,4,"Kamala Harris",38.7
81714,"North Dakota",2023-12-07,4,"Bernie Sanders",56.33
88101,"Indiana",2021-08-07,2,"Kamala Harris",25.29
88101,"Indiana",2021-08-07,2,"Elizabeth Ann Warren",25.77
88101,"Indiana",2021-08-07,2,"Joe Biden",35.47
88101,"Indiana",2021-08-07,2,"Donald Trump",13.47
84378,"Tennessee",2024-03-07,3.5,"Elizabeth Ann Warren",22.58
84378,"Tennessee",2024-03-07,3.5,"Bernie Sanders",47.48
84378,"Tennessee",2024-03-07,3.5,"Kamala Harris",29.95
77065,"Oklahoma",2021-04-07,6.5,"Bernie Sanders",26.39
77065,"Oklahoma",2021-04-07,6.5,"Kamala Harris",4.05
77065,"Oklahoma",2021-04-07,6.5,"Joe Biden",0.19
77065,"Oklahoma",2021-04-07,6.5,"Donald Trump",69.37
83390,"Colorado",2022-07-07,5,"Elizabeth Ann Warren",29.57
83390,"Colorado",2022-07-07,5,"Kamala Harris",70.43
88195,"Pennsylvania",2023-03-07,3.5,"Kamala Harris",90.54
88195,"Pennsylvania",2023-03-07,3.5,"Bernie Sanders",9.46
78873,"North Dakota",2021-12-07,2.5,"Joe Biden",21.09
78873,"North Dakota",2021-12-07,2.5,"Bernie Sanders",36.18
78873,"North Dakota",2021-12-07,2.5,"Donald Trump",42.72
75822,"Utah",2021-12-07,5.5,"Donald Trump",26.68
75822,"Utah",2021-12-07,5.5,"Joe Biden",5.53
75822,"Utah",2021-12-07,5.5,"Elizabeth Ann Warren",41.88
75822,"Utah",2021-12-07,5.5,"Bernie Sanders",25.91
81797,"Washington",2021-10-07,4.5,"Elizabeth Ann Warren",6.24
81797,"Washington",2021-10-07,4.5,"Bernie Sanders",21.3
81797,"Washington",2021-10-07,4.5,"Donald Trump",31.86
81797,"Washington",2021-10-07,4.5,"Joe Biden",40.6
79908,"Oregon",2021-06-07,10,"Kamala Harris",61.52
79908,"Oregon",2021-06-07,10,"Elizabeth Ann Warren",38.48
85267,"Delaware",2021-10-07,3,"Elizabeth Ann Warren",15.33
85267,"Delaware",2021-10-07,3,"Donald Trump",43.54
85267,"Delaware",2021-10-07,3,"Bernie Sanders",13.08
85267,"Delaware",2021-10-07,3,"Joe Biden",28.06
82225,"Connecticut",2022-11-07,1.5,"Joe Biden",5.94
82225,"Connecticut",2022-11-07,1.5,"Donald Trump",70.43
82225,"Connecticut",2022-11-07,1.5,"Kamala Harris",23.62
88834,"Massachusetts",2021-10-07,1,"Donald Trump",24.7
88834,"Massachusetts",2021-10-07,1,"Kamala Harris",75.3
88027,"Wisconsin",2022-06-07,7,"Donald Trump",41.68
88027,"Wisconsin",2022-06-07,7,"Bernie Sanders",18.87
88027,"Wisconsin",2022-06-07,7,"Kamala Harris",20.95
88027,"Wisconsin",2022-06-07,7,"Elizabeth Ann Warren",18.5
88100,"Georgia",2022-02-07,3,"Joe Biden",35.64
88100,"Georgia",2022-02-07,3,"Elizabeth Ann Warren",64.36
84526,"Colorado",2021-07-07,6.5,"Kamala Harris",42.82
84526,"Colorado",2021-07-07,6.5,"Joe Biden",17.57
84526,"Colorado",2021-07-07,6.5,"Bernie Sanders",39.6
87443,"Nevada",2024-02-07,3,"Joe Biden",9.72
87443,"Nevada",2024-02-07,3,"Kamala Harris",44.99
87443,"Nevada",2024-02-07,3,"Elizabeth Ann Warren",30.92
87443,"Nevada",2024-02-07,3,"Bernie Sanders",14.38
82018,"Oklahoma",2021-09-07,6,"Elizabeth Ann Warren",17.82
82018,"Oklahoma",2021-09-07,6,"Joe Biden",24.26
82018,"Oklahoma",2021-09-07,6,"Bernie Sanders",34.2
82018,"Oklahoma",2021-09-07,6,"Donald Trump",23.73
79914,"Arkansas",2024-04-07,3,"Elizabeth Ann Warren",48.22
79914,"Arkansas",2024-04-07,3,"Donald Trump",51.78
82768,"Kentucky",2022-08-07,6.5,"Donald Trump",43.71
82768,"Kentucky",2022-08-07,6.5,"Joe Biden",35.55
82768,"Kentucky",2022-08-07,6.5,"Bernie Sanders",20.73
80785,"Louisiana",2022-08-07,6.5,"Joe Biden",15.51
80785,"Louisiana",2022-08-07,6.5,"Donald Trump",10.6
80785,"Louisiana",2022-08-07,6.5,"Bernie Sanders",58.16
80785,"Louisiana",2022-08-07,6.5,"Elizabeth Ann Warren",15.72
75359,"Washington",2023-12-07,2.5,"Elizabeth Ann Warren",30.25
75359,"Washington",2023-12-07,2.5,"Donald Trump",7.34
75359,"Washington",2023-12-07,2.5,"Kamala Harris",4.87
75359,"Washington",2023-12-07,2.5,"Bernie Sanders",23.67
75359,"Washington",2023-12-07,2.5,"Joe Biden",33.87
81855,"Wisconsin",2023-10-07,5.5,"Kamala Harris",24.78
81855,"Wisconsin",2023-10-07,5.5,"Joe Biden",28.98
81855,"Wisconsin",2023-10-07,5.5,"Bernie Sanders",11.63
81855,"Wisconsin",2023-10-07,5.5,"Donald Trump",34.62
88834,"Oklahoma",2021-05-07,6,"Donald Trump",63.1
88834,"Oklahoma",2021-05-07,6,"Elizabeth Ann Warren",36.9
85536,"Kentucky",2022-03-07,2.5,"Elizabeth Ann Warren",39.47
85536,"Kentucky",2022-03-07,2.5,"Joe Biden",37.8
85536,"Kentucky",2022-03-07,2.5,"Bernie Sanders",22.73
82110,"Alabama",2023-11-07,6,"Donald Trump",24.46
82110,"Alabama",2023-11-07,6,"Bernie Sanders",75.54
82006,"Rhode Island",2022-09-07,0.5,"Elizabeth Ann Warren",52.21
82006,"Rhode Island",2022-09-07,0.5,"Donald Trump",47.79
83057,"Kentucky",2022-05-07,9,"Bernie Sanders",18.96
83057,"Kentucky",2022-05-07,9,"Elizabeth Ann Warren",34.6
83057,"Kentucky",2022-05-07,9,"Kamala Harris",46.44
84549,"Michigan",2021-07-07,1.5,"Kamala Harris",85.89
84549,"Michigan",2021-07-07,1.5,"Bernie Sanders",14.11
75607,"North Dakota",2022-03-07,3.5,"Joe Biden",20.65
75607,"North Dakota",2022-03-07,3.5,"Kamala Harris",20.19
75607,"North Dakota",2022-03-07,3.5,"Donald Trump",17.67
75607,"North Dakota",2022-03-07,3.5,"Elizabeth Ann Warren",23.31
75607,"North Dakota",2022-03-07,3.5,"Bernie Sanders",18.17
81414,"South Dakota",2022-04-07,6,"Joe Biden",12
81414,"South Dakota",2022-04-07,6,"Bernie Sanders",36.23
81414,"South Dakota",2022-04-07,6,"Donald Trump",51.77
87045,"Montana",2021-12-07,4.5,"Elizabeth Ann Warren",54.36
87045,"Montana",2021-12-07,4.5,"Joe Biden",45.64
75168,"Missouri",2023-10-07,3,"Donald Trump",37.59
75168,"Missouri",2023-10-07,3,"Elizabeth Ann Warren",57.39
75168,"Missouri",2023-10-07,3,"Bernie Sanders",5.02
85566,"Wisconsin",2022-01-07,9.5,"Joe Biden",18.27
85566,"Wisconsin",2022-01-07,9.5,"Elizabeth Ann Warren",3.82
85566,"Wisconsin",2022-01-07,9.5,"Donald Trump",21.84
